"#","RefDes","Value","Name","Part","Quantity"
"1","-3v1","","CAST-1x1T/2.54","Part 1","1"
"2","3v1","","CAST-1x1T/2.54","Part 1","1"
"3","3v2","","CAST-1x3T/2.54","Part 1","1"
"4","3v3","","CAST-1x1T/2.54","Part 1","1"
"5","3v4","","CAST-1x1T/2.54","Part 1","1"
"6","3v5","","CAST-1x1T/2.54","Part 1","1"
"7","5VPower","","CAST-1x4T/2.54","Part 1","1"
"8","C1","47uF X5R","CAP_1206","GRM31CR60J476ME19L","1"
"9","C2","22UF 10V 10% X5R 1206","GRM31CR61A226KE1","GRM31CR61A226KE1","1"
"10","C3","22UF 16V 20% X5R 1206","GRM31CR61C226ME1","GRM31CR61C226ME1","1"
"11","C4","47uF X5R","CAP_1206","GRM31CR60J476ME19L","1"
"12","C5","1uF X5R","CAP_0603","GRM188R61E105KA12D","1"
"13","C6","> 0.1uF","CAP_0402","Part 1","1"
"14","C7","1uF","CAP_0402","Part 1","1"
"15","C8","0.1uF","CAP_0402","Part 1","1"
"16","C9","0.1uF","CAP_0402","Part 1","1"
"17","C10","1uF","CAP_0402","Part 1","1"
"18","C11","2.2uF >7V","CAP_0402","GRM155R61A225KE95D","1"
"19","C12","1uF >30V","CAP_0603","CL10A105KB8NNNC","1"
"20","C13","1uF > 7V","CAP_0402","GRM155R61A105KE15D","1"
"21","GND1","","CAST-1x2T/2.54","Part 1","1"
"22","GND2","","CAST-1x1T/2.54","Part 1","1"
"23","GND3","","CAST-1x1T/2.54","Part 1","1"
"24","J1","","2x3T/2.54","Part 1","1"
"25","J2","","2x2T/2.54","Part 1","1"
"26","J3","","2x1T/2.54","Part 1","1"
"27","J4","","2x1T/2.54","Part 1","1"
"28","L1","","XFL4012-471MEB","XFL4012-471MEB","1"
"29","L2",">=220Ohm >2A","IND_0603","BLM18SG221TN1D","1"
"30","L4","220Ohm","IND_0603","BLM18SG221TN1D","1"
"31","L5",">=220Ohm 2A","IND_0603","BLM18SG221TN1D","1"
"32","L6","","ECMF02-2AMX6","Part 1","1"
"33","R1","200Ohm 1% (2.5A)","RES_0402","Part 1","1"
"34","R2","> 1.2kOhm","EXB(2/U)4(A/V)","Part 1","1"
"35","R3","","RES_0402","Part 1","1"
"36","R4","2.2Ohm","EXBN8(V)","Part 1","1"
"37","U1","","LM2663","LM2663MX/NOPB","1"
"38","U2","","TPS62086RLTR","TPS62086RLTR","1"
"39","U3","","TPS2115A","Part 1","1"
"40","U4","","MAX3353","Part 1","1"
"41","U5","","TSU6721YFF","Part 1","1"
"42","U6","","TPD1S514","Part 1","1"
"43","U7","","TPD1E05U06","Part 1","1"
"44","USB1","","47590-0001","67803-002","1"
"45","VBATIN","","2x1T/2.54","Part 1","1"
"","","","","","45"
